,Country,Happiness Score,Social support,Freedom,Generosity,Perceptions of corruption,GDP per capita,Healthy Life expectancy,Year,Code_x,% people with anxiety,Code_y,% people with depression,Code_x,Deaths per 100k ind,Code_y,% of alcoholic people
0,Norway,7.537000179290769,1.53352355957031,0.635422587394714,0.36201223731041,0.31596383452415505,1.61646318435669,0.796666502952576,2017,NOR,7.58550276017,NOR,3.771910369950001,NOR,9.268806467896844,NOR,1.4190025310699999
1,Denmark,7.52199983596802,1.55112159252167,0.626006722450256,0.3552804887294771,0.40077006816864,1.48238301277161,0.7925655245780941,2017,DNK,5.31463454993,DNK,3.29188532482,DNK,8.800279746370906,DNK,1.7307231327300001
2,Iceland,7.50400018692017,1.6105740070343,0.6271626353263849,0.475540220737457,0.15352655947208402,1.480633020401,0.8335521221160892,2017,ISL,5.29098780078,ISL,3.36166521168,ISL,9.608335242813077,ISL,1.24902859246
3,Switzerland,7.49399995803833,1.51691174507141,0.620070576667786,0.29054927825927696,0.3670072853565221,1.5649795532226598,0.858131289482117,2017,CHE,5.35939314075,CHE,3.70805973731,CHE,9.316062337467498,CHE,1.3796903016
4,Finland,7.468999862670901,1.5402467250824,0.6179508566856379,0.24548277258873,0.38261154294014,1.44357192516327,0.80915766954422,2017,FIN,3.7520618777999997,FIN,4.79273560626,FIN,12.944946735431664,FIN,2.6050609017400004
5,Netherlands,7.3769998550415,1.42893922328949,0.5853844881057739,0.470489829778671,0.282661825418472,1.50394463539124,0.8106961250305179,2017,NLD,6.62024219421,NLD,4.026854403440001,NLD,9.16910618721181,NLD,0.7766024846520001
6,Sweden,7.28399991989136,1.47816216945648,0.612924098968506,0.38539925217628496,0.384398728609085,1.49438726902008,0.830875158309937,2017,SWE,5.293836610990001,SWE,4.48791099421,SWE,11.076735528307587,SWE,1.5865878354399998
7,Austria,7.00600004196167,1.4599449634552,0.567766189575195,0.316472321748734,0.22106036543846105,1.48709726333618,0.8153284192085269,2017,AUT,5.341275395249999,AUT,3.2609699942000003,AUT,11.202156990304275,AUT,1.82406509366
8,Ireland,6.977000236511231,1.55823111534119,0.5731103420257571,0.42785832285881,0.2983881533145901,1.5357066392898602,0.8097826242446899,2017,IRL,5.83909248469,IRL,4.25092099742,IRL,8.374148078138807,IRL,2.10984790514
9,Germany,6.9510002136230495,1.47252035140991,0.562511384487152,0.33626917004585305,0.276731938123703,1.48792338371277,0.798950731754303,2017,DEU,6.540495803400001,DEU,3.95986609184,DEU,9.917417031361751,DEU,1.80647468292
10,Belgium,6.89099979400635,1.4623126983642598,0.5397707223892211,0.23150333762168895,0.251343131065369,1.46378076076508,0.8180918693542479,2017,BEL,5.21264464436,BEL,4.10918615476,BEL,14.275318768978696,BEL,1.46563856958
11,Luxembourg,6.86299991607666,1.45758366584778,0.59662789106369,0.283180981874466,0.31883442401886,1.74194359779358,0.845089495182037,2017,LUX,5.316516035169999,LUX,3.61771867849,LUX,8.704992603937981,LUX,1.3532344183200002
12,United Kingdom,6.71400022506714,1.4964600801467902,0.508190035820007,0.492774158716202,0.265428066253662,1.44163393974304,0.805335938930511,2017,GBR,4.64986093105,GBR,4.11952399118,GBR,7.356320551739103,GBR,1.8970516124099999
13,Malta,6.52699995040894,1.48841166496277,0.588767051696777,0.5747305750846861,0.153066068887711,1.34327983856201,0.821944236755371,2017,MLT,5.317984357559999,MLT,3.37413733179,MLT,4.5270321796299715,MLT,1.10928392912
14,France,6.44199991226196,1.38777685165405,0.470222115516663,0.129762306809425,0.172502428293228,1.43092346191406,0.8444658517837521,2017,FRA,6.62671021127,FRA,4.25380726277,FRA,12.400297974964525,FRA,1.4189578909
15,Spain,6.40299987792969,1.53209090232849,0.408781230449677,0.190133571624756,0.0709140971302986,1.38439786434174,0.888960599899292,2017,ESP,5.280278593459999,ESP,3.5383592906200003,ESP,5.5065007930741965,ESP,0.885003363252
16,Italy,5.96400022506714,1.44492328166962,0.256450712680817,0.17278964817523998,0.0280280914157629,1.39506661891937,0.8531443476676941,2017,ITA,5.6261210650499995,ITA,3.46425611655,ITA,4.759584776474608,ITA,0.462936855357
17,Cyprus,5.62099981307983,1.13136327266693,0.35511153936386103,0.271254301071167,0.0412379764020443,1.35593807697296,0.84471470117569,2017,CYP,5.30490840366,CYP,3.32811079018,CYP,4.630150260439427,CYP,1.11035426317
18,Greece,5.227000236511231,1.23941457271576,0.0957312509417534,0.0,0.04328977689147,1.28948748111725,0.8101989030838009,2017,GRC,5.790227945270001,GRC,4.1858636991900005,GRC,3.506254231338802,GRC,1.12425696455
19,Portugal,5.19500017166138,1.36704301834106,0.498465299606323,0.0951027125120163,0.0158694516867399,1.3151752948761002,0.795843541622162,2017,PRT,5.383260631540001,PRT,4.4214605472300015,PRT,7.687679698001807,PRT,1.26290452886
20,Denmark,7.526,1.16374,0.5794100000000001,0.36171,0.44453,1.4417799999999998,0.79504,2016,DNK,5.31494828929,DNK,3.28564173896,DNK,8.66188617882549,DNK,1.74720569795
21,Switzerland,7.508999999999999,1.14524,0.58557,0.28083,0.41203,1.52733,0.86303,2016,CHE,5.35741948488,CHE,3.7142257959199996,CHE,9.442203558834024,CHE,1.37872859024
22,Iceland,7.501,1.18326,0.56624,0.47678,0.14975,1.42666,0.8673299999999999,2016,ISL,5.292820434469999,ISL,3.3601436132100004,ISL,9.838218068579543,ISL,1.2400829906400002
23,Norway,7.497999999999998,1.1269,0.59609,0.37895,0.35776,1.57744,0.79579,2016,NOR,7.590933048939999,NOR,3.72356865507,NOR,9.201910752060595,NOR,1.4222417925
24,Finland,7.4129999999999985,1.13464,0.57104,0.25492,0.41004,1.40598,0.81091,2016,FIN,3.75072217532,FIN,4.82588575092,FIN,12.721293064348691,FIN,2.6577338294599997
25,Netherlands,7.338999999999999,1.02912,0.55211,0.47416,0.29927,1.46468,0.8123100000000001,2016,NLD,6.598856219249999,NLD,4.0289516804400005,NLD,9.306815789319012,NLD,0.7650797331360001
26,Sweden,7.291,1.08764,0.58218,0.38254,0.40867,1.45181,0.83121,2016,SWE,5.29518435195,SWE,4.50041986766,SWE,11.249797312254262,SWE,1.6598606891
27,Austria,7.119,1.0838299999999998,0.54355,0.32865,0.21348000000000006,1.45038,0.80565,2016,AUT,5.34217490685,AUT,3.262610515,AUT,11.420545843824014,AUT,1.8558084796599998
28,Germany,6.994,1.09774,0.53466,0.30452,0.28551,1.44787,0.81487,2016,DEU,6.54799038554,DEU,3.9495979427099996,DEU,9.903972521970925,DEU,1.8747907869599998
29,Belgium,6.9289999999999985,1.05249,0.51354,0.2424,0.26248,1.42539,0.8195899999999999,2016,BEL,5.210450807,BEL,4.1095512464,BEL,14.422614984832613,BEL,1.4607822276499998
30,Ireland,6.907,1.16157,0.54008,0.44963,0.29754,1.48341,0.81455,2016,IRL,5.83675207882,IRL,4.26944785335,IRL,8.352954987457531,IRL,2.11827516735
31,Luxembourg,6.871,1.03999,0.5487,0.27571,0.35329,1.69752,0.8454200000000001,2016,LUX,5.31632500547,LUX,3.6164854589899997,LUX,8.782066076125572,LUX,1.3584561187100002
32,United Kingdom,6.725,1.08672,0.50036,0.50156,0.27399,1.40283,0.80991,2016,GBR,4.65310679351,GBR,4.12248494824,GBR,7.368399813978432,GBR,1.90752423992
33,Malta,6.488,1.09879,0.54994,0.56237,0.17554,1.30782,0.80315,2016,MLT,5.3173903432300005,MLT,3.35912565879,MLT,4.4962874194946885,MLT,1.1093099488200002
34,France,6.478,1.00508,0.46562,0.1216,0.17808,1.39488,0.83795,2016,FRA,6.6320552499600005,FRA,4.27815852696,FRA,12.522829069089779,FRA,1.44036151229
35,Spain,6.3610000000000015,1.12945,0.37545,0.17665,0.061370000000000015,1.34253,0.8789600000000001,2016,ESP,5.27923235284,ESP,3.52266087481,ESP,5.592000067629983,ESP,0.8907937464279999
36,Italy,5.977,1.04167,0.18827,0.16684000000000002,0.02556,1.35495,0.8510200000000001,2016,ITA,5.62845586613,ITA,3.4599770529400002,ITA,4.850424784287788,ITA,0.464585202938
37,Cyprus,5.546,0.70697,0.29507,0.27906,0.052279999999999986,1.31857,0.8488,2016,CYP,5.305324769559999,CYP,3.31455134767,CYP,4.638157858151797,CYP,1.11219488699
38,Portugal,5.122999999999998,0.94367,0.44727,0.11691,0.01521,1.27607,0.7936300000000001,2016,PRT,5.3809814755100005,PRT,4.49471449189,PRT,7.642019230348736,PRT,1.26996551604
39,Greece,5.033,0.75473,0.058220000000000015,0.0,0.04127,1.24886,0.80029,2016,GRC,5.794716995750001,GRC,4.20826413602,GRC,3.548049172893188,GRC,1.12855578664
40,Switzerland,7.5870000000000015,1.34951,0.66557,0.29678000000000004,0.41978,1.39651,0.94143,2015,CHE,5.35551593619,CHE,3.7219165683399997,CHE,9.95626622366707,CHE,1.37858129324
41,Iceland,7.561,1.40223,0.6287699999999999,0.4363,0.14145,1.30232,0.94784,2015,ISL,5.2945385181699995,ISL,3.36075459712,ISL,9.836354815970278,ISL,1.2314844777200002
42,Denmark,7.527,1.36058,0.6493800000000001,0.34139,0.48357,1.32548,0.87464,2015,DNK,5.31557925005,DNK,3.2813056160799996,DNK,8.452166737823841,DNK,1.76099777167
43,Norway,7.522,1.33095,0.66973,0.34699,0.36503,1.459,0.88521,2015,NOR,7.596146364039999,NOR,3.6818658317,NOR,9.332552789078864,NOR,1.42489702583
44,Finland,7.4060000000000015,1.31826,0.64169,0.23351,0.41372,1.29025,0.8891100000000001,2015,FIN,3.7499118904300004,FIN,4.857564664130001,FIN,12.621371009688616,FIN,2.7038695889099995
45,Netherlands,7.377999999999999,1.28017,0.6157600000000001,0.4761,0.31814000000000003,1.32944,0.89284,2015,NLD,6.578979126109999,NLD,4.028566098540001,NLD,9.222200101952193,NLD,0.7545815331550001
46,Sweden,7.364,1.2890700000000002,0.6598,0.36262,0.43844,1.33171,0.91087,2015,SWE,5.29705824333,SWE,4.51344405092,SWE,11.618377357336753,SWE,1.72117664257
47,Austria,7.2,1.29704,0.62433,0.33088,0.18676,1.33723,0.8904200000000001,2015,AUT,5.344587182190001,AUT,3.26403220401,AUT,11.770476394482765,AUT,1.88337227598
48,Luxembourg,6.9460000000000015,1.21963,0.61583,0.28034000000000003,0.37798,1.56391,0.91894,2015,LUX,5.31695252126,LUX,3.6151148222,LUX,8.942273059654216,LUX,1.36345226383
49,Ireland,6.94,1.36948,0.6177699999999999,0.45901,0.28703,1.33596,0.89533,2015,IRL,5.834180257230001,IRL,4.28658096651,IRL,8.753767280961808,IRL,2.1237208385499997
50,Belgium,6.937,1.28566,0.5845,0.2225,0.2254,1.30782,0.8966700000000001,2015,BEL,5.20864635551,BEL,4.11045224686,BEL,14.909187057337196,BEL,1.4564757612600001
51,United Kingdom,6.867000000000001,1.28548,0.59625,0.51912,0.32067,1.26637,0.90943,2015,GBR,4.6562787321700005,GBR,4.12443512467,GBR,7.272896366630384,GBR,1.91436310095
52,Germany,6.75,1.29937,0.6147699999999999,0.28214,0.21843,1.32792,0.89186,2015,DEU,6.566759025580001,DEU,3.94620635053,DEU,9.692091233358722,DEU,1.92717836242
53,France,6.575,1.2603799999999998,0.55011,0.12332,0.20646,1.27778,0.94579,2015,FRA,6.63744454071,FRA,4.29932581248,FRA,12.985378781086636,FRA,1.45786302442
54,Spain,6.329,1.31379,0.45951,0.18227,0.06398,1.23011,0.95562,2015,ESP,5.278340958219999,ESP,3.50685946491,ESP,5.85389317910554,ESP,0.895117114338
55,Malta,6.3020000000000005,1.30203,0.60365,0.51752,0.13585999999999998,1.2074,0.88721,2015,MLT,5.31700474664,MLT,3.34792260744,MLT,4.361657957635819,MLT,1.10921275074
56,Italy,5.948,1.19777,0.26236,0.22823,0.02901,1.25114,0.95446,2015,ITA,5.63036686842,ITA,3.45861832629,ITA,5.14460168245325,ITA,0.465701935145
57,Cyprus,5.689,0.89318,0.40672,0.30638000000000004,0.06146,1.20813,0.92356,2015,CYP,5.30557518828,CYP,3.3020542742299996,CYP,4.699221642196222,CYP,1.11330282498
58,Portugal,5.102,1.13935,0.51469,0.13719,0.01078,1.15991,0.8751899999999999,2015,PRT,5.37912990911,PRT,4.56140292832,PRT,7.778090208764362,PRT,1.2764582972799998
59,Greece,4.857,0.92933,0.07699,0.0,0.013969999999999998,1.15406,0.88213,2015,GRC,5.79851846034,GRC,4.23175902821,GRC,3.66306904733662,GRC,1.1317528757100002
