Country,Happiness Score,Social support,Freedom,Generosity,Perceptions of corruption,GDP per capita,Healthy Life expectancy,Year
Finland,7.808700085,0.954329729,0.949172199,-0.059482019000000004,0.19544458399999998,1.285189509,0.961271405,2020
Denmark,7.645599842,0.955990791,0.9514442679999999,0.06620177599999999,0.168489456,1.326948524,0.979332566,2020
Switzerland,7.559899807000001,0.942846596,0.921336651,0.105911039,0.303728431,1.39077425,1.040533185,2020
Iceland,7.504499912000001,0.9746695759999999,0.948891878,0.246944219,0.7117097379999999,1.326501608,1.000843406,2020
Norway,7.487999916000001,0.952486575,0.955750287,0.13453263,0.26321819399999996,1.42420733,1.0080718990000002,2020
Netherlands,7.448900223,0.93913883,0.908547819,0.20761244,0.364717126,1.338946342,0.9756753440000001,2020
Sweden,7.353499889,0.926311195,0.939144194,0.111614622,0.250880182,1.322235227,0.9864704609999999,2020
Austria,7.294199944,0.9280458690000001,0.899989486,0.085429221,0.49995487899999996,1.317285538,1.000933528,2020
Luxembourg,7.2375001910000005,0.9069122079999999,0.90563643,-0.004620588,0.367084295,1.536676049,0.986442685,2020
United Kingdom,7.164500237,0.93668282,0.834743679,0.263732493,0.43591591700000004,1.273061037,0.97570008,2020
Ireland,7.093699932000001,0.9420815709999999,0.8869829770000001,0.145784974,0.357184172,1.446886778,0.975670695,2020
Germany,7.075799942000001,0.898874462,0.867371082,0.08017938599999999,0.456422031,1.314184546,0.9721148009999999,2020
Belgium,6.863500117999999,0.911632538,0.813582063,-0.078691199,0.612297952,1.2958427670000001,0.964901149,2020
Malta,6.772799968999999,0.93037951,0.9249114390000001,0.214965805,0.658547282,1.2525132890000001,0.9720420240000001,2020
France,6.663799762999999,0.937103748,0.8254676459999999,-0.130641967,0.583521128,1.268129349,1.029714227,2020
Spain,6.4008998870000005,0.921125412,0.751989543,-0.050961714000000005,0.765859902,1.230535269,1.051343083,2020
Italy,6.38740015,0.8898785709999999,0.66465199,-0.04346099900000001,0.873404682,1.236396074,1.0225049259999999,2020
Cyprus,6.15899992,0.8059962390000001,0.7798582909999999,0.043731495999999995,0.8562717440000001,1.21279943,1.0261245970000001,2020
Portugal,5.9109001160000005,0.8865907190000001,0.8887478109999999,-0.220714301,0.8926295040000001,1.168800831,0.979315281,2020
North Cyprus,5.53550005,0.820356607,0.79529351,0.00022715900000000003,0.62611568,1.21279943,1.0261245970000001,2020
Greece,5.514999866,0.8143803479999999,0.5413451189999999,-0.30090737300000003,0.8599314090000001,1.128070116,0.979431748,2020
Finland,7.769,1.587,0.596,0.153,0.39299999999999996,1.34,0.986,2019
Denmark,7.6,1.5730000000000002,0.5920000000000001,0.252,0.41,1.383,0.996,2019
Norway,7.553999999999999,1.5819999999999999,0.603,0.271,0.341,1.4880000000000002,1.028,2019
Iceland,7.494,1.624,0.591,0.354,0.11800000000000001,1.38,1.026,2019
Netherlands,7.4879999999999995,1.5219999999999998,0.557,0.322,0.298,1.396,0.9990000000000001,2019
Switzerland,7.48,1.526,0.5720000000000001,0.263,0.34299999999999997,1.452,1.052,2019
Sweden,7.343,1.4869999999999999,0.574,0.267,0.373,1.3869999999999998,1.0090000000000001,2019
Austria,7.246,1.475,0.532,0.244,0.226,1.376,1.016,2019
Luxembourg,7.09,1.479,0.526,0.19399999999999998,0.316,1.609,1.012,2019
United Kingdom,7.053999999999999,1.538,0.45,0.348,0.278,1.3330000000000002,0.996,2019
Ireland,7.021,1.5530000000000002,0.516,0.298,0.31,1.499,0.9990000000000001,2019
Germany,6.985,1.454,0.495,0.261,0.265,1.3730000000000002,0.987,2019
Belgium,6.922999999999999,1.504,0.473,0.16,0.21,1.3559999999999999,0.986,2019
Malta,6.726,1.52,0.564,0.375,0.151,1.3,0.9990000000000001,2019
France,6.5920000000000005,1.472,0.436,0.111,0.183,1.324,1.045,2019
Spain,6.354,1.484,0.36200000000000004,0.153,0.079,1.286,1.062,2019
Italy,6.223,1.4880000000000002,0.231,0.158,0.03,1.294,1.0390000000000001,2019
Cyprus,6.046,1.2229999999999999,0.406,0.19,0.040999999999999995,1.263,1.042,2019
Portugal,5.693,1.431,0.508,0.047,0.025,1.2209999999999999,0.9990000000000001,2019
Greece,5.287000000000001,1.156,0.067,0.0,0.034,1.181,0.9990000000000001,2019
Finland,7.632000000000001,1.5919999999999999,0.6809999999999999,0.20199999999999999,0.39299999999999996,1.305,0.8740000000000001,2018
Norway,7.593999999999999,1.5819999999999999,0.6859999999999999,0.28600000000000003,0.34,1.456,0.861,2018
Denmark,7.555,1.59,0.6829999999999999,0.284,0.408,1.351,0.868,2018
Iceland,7.495,1.6440000000000001,0.677,0.353,0.138,1.3430000000000002,0.914,2018
Switzerland,7.487,1.5490000000000002,0.66,0.256,0.35700000000000004,1.42,0.927,2018
Netherlands,7.441,1.4880000000000002,0.638,0.33299999999999996,0.295,1.361,0.878,2018
Sweden,7.314,1.501,0.659,0.285,0.38299999999999995,1.355,0.9129999999999999,2018
United Kingdom,7.19,1.433,0.46399999999999997,0.262,0.08199999999999999,1.244,0.888,2018
Austria,7.138999999999999,1.504,0.617,0.242,0.22399999999999998,1.341,0.8909999999999999,2018
Ireland,6.977,1.5830000000000002,0.614,0.307,0.306,1.4480000000000002,0.8759999999999999,2018
Germany,6.965,1.474,0.586,0.273,0.28,1.34,0.861,2018
Belgium,6.9270000000000005,1.483,0.583,0.188,0.24,1.324,0.894,2018
Luxembourg,6.91,1.52,0.632,0.196,0.321,1.5759999999999998,0.8959999999999999,2018
Malta,6.627000000000001,1.525,0.645,0.376,0.142,1.27,0.884,2018
France,6.489,1.466,0.52,0.098,0.17600000000000002,1.2930000000000001,0.9079999999999999,2018
Spain,6.31,1.538,0.449,0.142,0.07400000000000001,1.251,0.965,2018
Italy,6.0,1.501,0.281,0.13699999999999998,0.027999999999999997,1.264,0.946,2018
Cyprus,5.7620000000000005,1.1909999999999998,0.423,0.20199999999999999,0.035,1.229,0.909,2018
Portugal,5.41,1.429,0.562,0.055,0.017,1.188,0.884,2018
Greece,5.358,1.202,0.131,0.0,0.044000000000000004,1.1540000000000001,0.879,2018
Norway,7.537000179290769,1.53352355957031,0.635422587394714,0.36201223731041,0.31596383452415505,1.6164631843566901,0.796666502952576,2017
Denmark,7.52199983596802,1.55112159252167,0.626006722450256,0.3552804887294771,0.40077006816863997,1.48238301277161,0.7925655245780941,2017
Iceland,7.50400018692017,1.6105740070343,0.6271626353263849,0.47554022073745705,0.15352655947208402,1.480633020401,0.8335521221160892,2017
Switzerland,7.49399995803833,1.51691174507141,0.620070576667786,0.29054927825927696,0.36700728535652205,1.5649795532226598,0.858131289482117,2017
Finland,7.468999862670901,1.5402467250824,0.6179508566856379,0.24548277258873,0.38261154294014,1.44357192516327,0.80915766954422,2017
Netherlands,7.3769998550415,1.42893922328949,0.5853844881057739,0.47048982977867104,0.282661825418472,1.50394463539124,0.8106961250305179,2017
Sweden,7.28399991989136,1.47816216945648,0.612924098968506,0.38539925217628496,0.384398728609085,1.49438726902008,0.830875158309937,2017
Austria,7.00600004196167,1.4599449634552,0.567766189575195,0.316472321748734,0.22106036543846105,1.4870972633361799,0.8153284192085269,2017
Ireland,6.9770002365112305,1.5582311153411899,0.5731103420257571,0.42785832285881,0.29838815331459007,1.5357066392898602,0.8097826242446899,2017
Germany,6.9510002136230495,1.47252035140991,0.562511384487152,0.33626917004585305,0.276731938123703,1.48792338371277,0.798950731754303,2017
Belgium,6.89099979400635,1.4623126983642598,0.5397707223892211,0.23150333762168898,0.251343131065369,1.4637807607650801,0.8180918693542479,2017
Luxembourg,6.86299991607666,1.45758366584778,0.59662789106369,0.283180981874466,0.31883442401886,1.74194359779358,0.845089495182037,2017
United Kingdom,6.71400022506714,1.4964600801467902,0.508190035820007,0.492774158716202,0.265428066253662,1.44163393974304,0.805335938930511,2017
Malta,6.52699995040894,1.48841166496277,0.588767051696777,0.5747305750846861,0.153066068887711,1.34327983856201,0.821944236755371,2017
France,6.44199991226196,1.38777685165405,0.470222115516663,0.129762306809425,0.172502428293228,1.43092346191406,0.8444658517837521,2017
Spain,6.40299987792969,1.53209090232849,0.408781230449677,0.190133571624756,0.0709140971302986,1.38439786434174,0.888960599899292,2017
Italy,5.96400022506714,1.44492328166962,0.256450712680817,0.17278964817523998,0.0280280914157629,1.3950666189193701,0.8531443476676941,2017
North Cyprus,5.80999994277954,1.18630337715149,0.47120362520217896,0.266845703125,0.155353352427483,1.3469113111496,0.834647238254547,2017
Cyprus,5.62099981307983,1.13136327266693,0.35511153936386103,0.271254301071167,0.0412379764020443,1.3559380769729599,0.84471470117569,2017
Greece,5.2270002365112305,1.23941457271576,0.0957312509417534,0.0,0.043289776891470004,1.28948748111725,0.8101989030838009,2017
Portugal,5.19500017166138,1.36704301834106,0.498465299606323,0.0951027125120163,0.0158694516867399,1.3151752948761002,0.795843541622162,2017
Denmark,7.526,1.16374,0.5794100000000001,0.36171,0.44453000000000004,1.4417799999999998,0.79504,2016
Switzerland,7.5089999999999995,1.14524,0.58557,0.28083,0.41203,1.5273299999999999,0.86303,2016
Iceland,7.501,1.18326,0.56624,0.47678000000000004,0.14975,1.42666,0.8673299999999999,2016
Norway,7.497999999999999,1.1269,0.59609,0.37895,0.35775999999999997,1.57744,0.79579,2016
Finland,7.412999999999999,1.1346399999999999,0.57104,0.25492,0.41003999999999996,1.40598,0.81091,2016
Netherlands,7.3389999999999995,1.02912,0.55211,0.47416,0.29927,1.46468,0.8123100000000001,2016
Sweden,7.291,1.08764,0.58218,0.38254,0.40867,1.45181,0.83121,2016
Austria,7.119,1.0838299999999998,0.54355,0.32865,0.21348000000000003,1.45038,0.80565,2016
Germany,6.994,1.09774,0.53466,0.30451999999999996,0.28551,1.44787,0.81487,2016
Belgium,6.928999999999999,1.05249,0.51354,0.2424,0.26248,1.42539,0.8195899999999999,2016
Ireland,6.907,1.16157,0.54008,0.44963000000000003,0.29754,1.4834100000000001,0.81455,2016
Luxembourg,6.871,1.03999,0.5487,0.27571,0.35329,1.6975200000000001,0.8454200000000001,2016
United Kingdom,6.725,1.0867200000000001,0.50036,0.50156,0.27399,1.40283,0.80991,2016
Malta,6.4879999999999995,1.09879,0.54994,0.56237,0.17554,1.30782,0.80315,2016
France,6.478,1.00508,0.46562,0.1216,0.17808,1.39488,0.83795,2016
Spain,6.361000000000001,1.12945,0.37545,0.17665,0.06137000000000001,1.34253,0.8789600000000001,2016
Italy,5.977,1.04167,0.18827,0.16684000000000002,0.02556,1.35495,0.8510200000000001,2016
North Cyprus,5.771,0.81826,0.43596,0.26322,0.16577999999999998,1.31141,0.8414200000000001,2016
Cyprus,5.546,0.70697,0.29507,0.27906,0.05227999999999999,1.31857,0.8488,2016
Portugal,5.122999999999999,0.9436700000000001,0.44727,0.11690999999999999,0.01521,1.27607,0.7936300000000001,2016
Greece,5.033,0.75473,0.05822000000000001,0.0,0.04127,1.24886,0.80029,2016
Switzerland,7.587000000000001,1.34951,0.66557,0.29678000000000004,0.41978000000000004,1.3965100000000001,0.9414299999999999,2015
Iceland,7.561,1.4022299999999999,0.6287699999999999,0.4363,0.14145,1.3023200000000001,0.94784,2015
Denmark,7.527,1.36058,0.6493800000000001,0.34139,0.48357,1.32548,0.87464,2015
Norway,7.522,1.33095,0.66973,0.34699,0.36503,1.459,0.88521,2015
Finland,7.406000000000001,1.31826,0.64169,0.23351,0.41372,1.29025,0.8891100000000001,2015
Netherlands,7.377999999999999,1.28017,0.6157600000000001,0.4761,0.31814000000000003,1.32944,0.89284,2015
Sweden,7.364,1.2890700000000002,0.6598,0.36262,0.43843999999999994,1.33171,0.9108700000000001,2015
Austria,7.2,1.29704,0.62433,0.33088,0.18675999999999998,1.33723,0.8904200000000001,2015
Luxembourg,6.946000000000001,1.21963,0.61583,0.28034000000000003,0.37798000000000004,1.5639100000000001,0.91894,2015
Ireland,6.94,1.36948,0.6177699999999999,0.45901000000000003,0.28703,1.33596,0.89533,2015
Belgium,6.937,1.28566,0.5845,0.2225,0.2254,1.30782,0.8966700000000001,2015
United Kingdom,6.867000000000001,1.28548,0.59625,0.51912,0.32066999999999996,1.26637,0.90943,2015
Germany,6.75,1.2993700000000001,0.6147699999999999,0.28214,0.21843,1.32792,0.89186,2015
France,6.575,1.2603799999999998,0.55011,0.12332,0.20646,1.27778,0.9457899999999999,2015
Spain,6.329,1.31379,0.45951000000000003,0.18227000000000002,0.06398,1.23011,0.95562,2015
Malta,6.3020000000000005,1.30203,0.60365,0.51752,0.13585999999999998,1.2074,0.88721,2015
Italy,5.9479999999999995,1.19777,0.26236,0.22823000000000002,0.02901,1.25114,0.9544600000000001,2015
North Cyprus,5.695,1.07008,0.49027,0.26169000000000003,0.1428,1.2080600000000001,0.92356,2015
Cyprus,5.689,0.89318,0.40671999999999997,0.30638000000000004,0.06146,1.20813,0.92356,2015
Portugal,5.102,1.13935,0.51469,0.13719,0.01078,1.15991,0.8751899999999999,2015
Greece,4.857,0.9293299999999999,0.07699,0.0,0.013969999999999998,1.15406,0.88213,2015
